Player,Pos,Team,Conf,Year,G,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Emory Jones,QB,Cincinnati Bearcats ,Big 12,2023,12,155,560,3.6,4,0,0,,0,155,560,3.6,4
Tanner Mordecai,QB,Wisconsin Badgers ,Big Ten,2023,10,90,302,3.4,4,2,14,7,0,92,316,3.4,4
Mike Hollins,RB,Virginia Cavaliers ,ACC,2023,11,80,274,3.4,7,10,34,3.4,1,90,308,3.4,8
Jalen Milroe,QB,Alabama Crimson Tide ,SEC,2023,13,161,531,3.3,12,0,0,,0,161,531,3.3,12
Jaxson Dart,QB,Ole Miss Rebels ,SEC,2023,13,119,389,3.3,8,1,15,15,0,120,404,3.4,8
Rashod Dubinion,RB,Arkansas Razorbacks ,SEC,2023,10,82,260,3.2,1,14,85,6.1,1,96,345,3.6,2
Donovan Smith,QB,Houston Cougars ,Big 12,2023,12,138,428,3.1,6,1,28,28,1,139,456,3.3,7
Kobe Pace,RB,Virginia Cavaliers ,ACC,2023,12,125,382,3.1,1,19,176,9.3,3,144,558,3.9,4
Luke Altmyer,QB,Illinois Fighting Illini ,Big Ten,2023,9,94,282,3,3,0,0,,0,94,282,3,3
Delbert Mimms,RB,NC State Wolfpack ,ACC,2023,13,96,282,2.9,8,3,23,7.7,0,99,305,3.1,8
K.J. Jefferson,QB,Arkansas Razorbacks ,SEC,2023,12,161,447,2.8,2,0,0,,0,161,447,2.8,2
Brady Cook,QB,Missouri Tigers ,SEC,2023,13,113,319,2.8,8,0,0,,0,113,319,2.8,8
Brendan Sorsby,QB,Indiana Hoosiers ,Big Ten,2023,10,113,276,2.4,4,0,0,,0,113,276,2.4,4
Hudson Card,QB,Purdue Boilermakers ,Big Ten,2023,11,93,203,2.2,5,0,0,,0,93,203,2.2,5
Cade Klubnik,QB,Clemson Tigers ,ACC,2023,13,125,182,1.5,4,0,0,,0,125,182,1.5,4
Mitch Griffis,QB,Wake Forest Demon Deacons ,ACC,2023,9,106,128,1.2,2,0,0,,0,106,128,1.2,2
Spencer Rattler,QB,South Carolina Gamecocks ,SEC,2023,12,97,104,1.1,4,0,0,,0,97,104,1.1,4
Jack Plummer,QB,Louisville Cardinals ,ACC,2023,14,98,34,0.3,1,0,0,,0,98,34,0.3,1
