Player,Pos,Team,Conf,Year,G,Touchdowns_Rush,Touchdowns_Rec,Touchdowns_Int,Touchdowns_FR,Touchdowns_PR,Touchdowns_KR,Touchdowns_Oth,Touchdowns_Tot,Kicking_XPM,Kicking_FGM,Other_2PM,Other_Sfty,Pts
Mitch Jeter,K,South Carolina Gamecocks ,SEC,2023,12,0,0,0,0,0,0,0,0,33,12,0,0,69
CJ Donaldson,RB,West Virginia Mountaineers ,Big 12,2023,12,11,0,0,0,0,0,0,11,0,0,1,0,68
Isaac Guerendo,RB,Louisville Cardinals ,ACC,2023,14,11,0,0,0,0,0,0,11,0,0,0,0,66
Keon Coleman,WR,Florida State Seminoles ,ACC,2023,12,0,11,0,0,0,0,0,11,0,0,0,0,66
Adonai Mitchell,WR,Texas Longhorns ,Big 12,2023,14,0,11,0,0,0,0,0,11,0,0,0,0,66
Jonathon Brooks,RB,Texas Longhorns ,Big 12,2023,11,10,1,0,0,0,0,0,11,0,0,0,0,66
Gavin Wimsatt,QB,Rutgers Scarlet Knights ,Big Ten,2023,13,11,0,0,0,0,0,0,11,0,0,0,0,66
TreVeyon Henderson,RB,Ohio State Buckeyes ,Big Ten,2023,10,11,0,0,0,0,0,0,11,0,0,0,0,66
Brady Denaburg,K,Syracuse Orange ,ACC,2023,13,0,0,0,0,0,0,0,0,36,10,0,0,66
Caleb Griffin,K,Illinois Fighting Illini ,Big Ten,2023,12,0,0,0,0,0,0,0,0,24,14,0,0,66
Will Ferrin,K,Brigham Young Cougars ,Big 12,2023,12,0,0,0,0,0,0,0,0,32,11,0,0,65
Will Howard,QB,Kansas State Wildcats ,Big 12,2023,12,9,1,0,0,0,0,0,10,0,0,2,0,64
Tahj Brooks,RB,Texas Tech Red Raiders ,Big 12,2023,13,10,0,0,0,0,0,0,10,0,0,1,0,62
Nicholas Singleton,RB,Penn State Nittany Lions ,Big Ten,2023,13,8,2,0,0,0,0,0,10,0,0,1,0,62
Matthew Dennis,K,Wake Forest Demon Deacons ,ACC,2023,11,0,0,0,0,0,0,0,0,20,14,0,0,62
Ben Sauls,DL,Pittsburgh Panthers ,ACC,2023,12,0,0,0,0,0,0,0,0,28,11,0,0,61
Haynes King,QB,Georgia Tech Yellow Jackets ,ACC,2023,13,10,0,0,0,0,0,0,10,0,0,0,0,60
Kevin Concepcion,WR,NC State Wolfpack ,ACC,2023,13,0,10,0,0,0,0,0,10,0,0,0,0,60
LeQuint Allen,RB,Syracuse Orange ,ACC,2023,13,9,1,0,0,0,0,0,10,0,0,0,0,60
Drake Stoops,WR,Oklahoma Sooners ,Big 12,2023,13,0,10,0,0,0,0,0,10,0,0,0,0,60
Nic Anderson,WR,Oklahoma Sooners ,Big 12,2023,13,0,10,0,0,0,0,0,10,0,0,0,0,60
Jayden Daniels,QB,LSU Tigers ,SEC,2023,12,10,0,0,0,0,0,0,10,0,0,0,0,60
Chris Freeman,K,Indiana Hoosiers ,Big Ten,2023,12,0,0,0,0,0,0,0,0,29,10,0,0,59
Jack Martin,K,Houston Cougars ,Big 12,2023,12,0,0,0,0,0,0,0,0,34,8,0,0,58
Luther Burden,,Missouri Tigers ,SEC,2023,13,0,9,0,0,0,0,0,9,0,0,1,0,56
Jonathan Kim,K,Michigan State Spartans ,Big Ten,2023,12,0,0,0,0,0,0,0,0,17,13,0,0,56
Drake Maye,QB,North Carolina Tar Heels ,ACC,2023,12,9,0,0,0,0,0,0,9,0,0,0,0,54
Jacolby George,WR,Miami Hurricanes ,ACC,2023,13,1,8,0,0,0,0,0,9,0,0,0,0,54
Malik Washington,WR,Virginia Cavaliers ,ACC,2023,12,0,9,0,0,0,0,0,9,0,0,0,0,54
Emani Bailey,RB,TCU Horned Frogs ,Big 12,2023,12,8,1,0,0,0,0,0,9,0,0,0,0,54
Gavin Sawchuk,RB,Oklahoma Sooners ,Big 12,2023,12,9,0,0,0,0,0,0,9,0,0,0,0,54
Tyrone Tracy Jr.,RB,Purdue Boilermakers ,Big Ten,2023,11,8,0,0,0,0,1,0,9,0,0,0,0,54
Trevor Etienne,RB,Florida Gators ,SEC,2023,11,8,1,0,0,0,0,0,9,0,0,0,0,54
Tristan Alvano,K,Nebraska Cornhuskers ,Big Ten,2023,12,0,0,0,0,0,0,0,0,27,9,0,0,54
Jared Wiley,TE,TCU Horned Frogs ,Big 12,2023,12,0,8,0,0,0,0,0,8,0,0,1,0,50
Jacob Borcila,K,Vanderbilt Commodores ,SEC,2023,12,0,0,0,0,0,0,0,0,29,7,0,0,50
Mike Hollins,RB,Virginia Cavaliers ,ACC,2023,11,7,1,0,0,0,0,0,8,0,0,0,0,48
Matthew Golden,WR,Houston Cougars ,Big 12,2023,9,0,6,0,0,0,2,0,8,0,0,0,0,48
Will Sheppard,WR,Vanderbilt Commodores ,SEC,2023,12,0,8,0,0,0,0,0,8,0,0,0,0,48
