Player,Pos,Team,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Jordan Moore,QB,Duke Blue Devils ,ACC,2023,13,62,835,13.5,8,4,2,0.5,0,66,837,12.7,8
Xzavier Henderson,WR,Cincinnati Bearcats ,Big 12,2023,12,58,782,13.5,3,0,0,,0,58,782,13.5,3
Tayvion Robinson,WR,Kentucky Wildcats ,SEC,2023,13,41,552,13.5,4,2,12,6,0,43,564,13.1,4
Evan Stewart,WR,Texas A&M Aggies ,SEC,2023,8,38,514,13.5,4,1,-3,-3,0,39,511,13.1,4
Donaven McCulley,WR,Indiana Hoosiers ,Big Ten,2023,12,48,644,13.4,6,3,-1,-0.3,0,51,643,12.6,6
Deion Burks,WR,Purdue Boilermakers ,Big Ten,2023,12,47,629,13.4,7,4,12,3,0,51,641,12.6,7
Montorie Foster,WR,Michigan State Spartans ,Big Ten,2023,12,43,576,13.4,3,0,0,,0,43,576,13.4,3
Beaux Collins,,Clemson Tigers ,ACC,2023,11,38,510,13.4,3,0,0,,0,38,510,13.4,3
Corey Crooms,WR,Minnesota Golden Gophers ,Big Ten,2023,13,28,376,13.4,0,0,0,,0,28,376,13.4,0
Jalon Calhoun,WR,Duke Blue Devils ,ACC,2023,13,50,666,13.3,4,1,3,3,0,51,669,13.1,4
Cam Johnson,WR,Northwestern Wildcats ,Big Ten,2023,13,54,715,13.2,6,1,8,8,0,55,723,13.1,6
Keon Coleman,WR,Florida State Seminoles ,ACC,2023,12,50,658,13.2,11,1,2,2,0,51,660,12.9,11
Lideatrick Griffin,WR,Mississippi State Bulldogs ,SEC,2023,12,50,658,13.2,4,17,74,4.4,1,67,732,10.9,5
Abdur-Rahmaan Yaseen,WR,Purdue Boilermakers ,Big Ten,2023,6,25,329,13.2,0,0,0,,0,25,329,13.2,0
Sam Brown,WR,Houston Cougars ,Big 12,2023,12,62,815,13.1,3,0,0,,0,62,815,13.1,3
Konata Mumpfield,WR,Pittsburgh Panthers ,ACC,2023,12,44,576,13.1,5,1,15,15,0,45,591,13.1,5
Jaylin Lane,WR,Virginia Tech Hokies ,ACC,2023,12,41,538,13.1,6,14,51,3.6,0,55,589,10.7,6
Dae'Quan Wright,TE,Virginia Tech Hokies ,ACC,2023,12,28,366,13.1,0,0,0,,0,28,366,13.1,0
Malik Washington,WR,Virginia Cavaliers ,ACC,2023,12,110,1426,13,9,3,7,2.3,0,113,1433,12.7,9
Pat Bryant,WR,Illinois Fighting Illini ,Big Ten,2023,12,43,560,13,7,0,0,,0,43,560,13,7
Braden Smith,WR,Cincinnati Bearcats ,Big 12,2023,12,43,557,13,4,2,0,0,0,45,557,12.4,4
Christian Dremel,WR,Rutgers Scarlet Knights ,Big Ten,2023,13,36,468,13,3,0,0,,0,36,468,13,3
Isaiah Williams,WR,Illinois Fighting Illini ,Big Ten,2023,12,82,1055,12.9,5,12,38,3.2,0,94,1093,11.6,5
Cornelius Johnson,WR,Michigan Wolverines ,Big Ten,2023,15,47,604,12.9,1,3,40,13.3,0,50,644,12.9,1
Jaheim Bell,TE,Florida State Seminoles ,ACC,2023,13,39,503,12.9,2,4,2,0.5,1,43,505,11.7,3
