Player,School,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Stephon Johnson Jr.,Houston,Big 12,2023,12,24,277,11.5,3,1,13,13.0,0,25,290,11.6,3
Dominic Lovett*,Georgia,SEC,2023,14,54,613,11.4,4,0,0,,0,54,613,11.4,4
Will Pauling*,Wisconsin,Big Ten,2023,13,74,837,11.3,6,1,11,11.0,0,75,848,11.3,6
Daejon Reynolds,Pitt,ACC,2023,12,28,316,11.3,0,1,1,1.0,0,29,317,10.9,0
Chamon Metayer,Cincinnati,Big 12,2023,11,23,258,11.2,5,1,27,27.0,0,24,285,11.9,5
Jahmal Banks,Wake Forest,ACC,2023,12,59,653,11.1,4,1,7,7.0,0,60,660,11.0,4
Phillip Brooks*,Kansas State,Big 12,2023,12,53,589,11.1,5,7,33,4.7,1,60,622,10.4,6
Jared Wiley,TCU,Big 12,2023,12,47,520,11.1,8,0,0,,0,47,520,11.1,8
DJ Giddens*,Kansas State,Big 12,2023,13,29,323,11.1,3,223,1226,5.5,10,252,1549,6.1,13
Arlis Boardingham,Florida,SEC,2023,12,26,289,11.1,4,0,0,,0,26,289,11.1,4
Malik Rutherford*,Georgia Tech,ACC,2023,13,46,502,10.9,4,3,17,5.7,0,49,519,10.6,4
Nate McCollum*,North Carolina,ACC,2023,10,44,469,10.7,1,0,0,,0,44,469,10.7,1
Matthew Golden,Houston,Big 12,2023,9,38,404,10.6,6,0,0,,0,38,404,10.6,6
Jayden McGowan,Vanderbilt,SEC,2023,12,36,383,10.6,0,18,109,6.1,0,54,492,9.1,0
Jay Fair*,Auburn,SEC,2023,13,31,324,10.5,2,0,0,,0,31,324,10.5,2
Rivaldo Fairweather*,Auburn,SEC,2023,13,38,394,10.4,6,0,0,,0,38,394,10.4,6
Julian Fleming*,Ohio State,Big Ten,2023,12,26,270,10.4,0,0,0,,0,26,270,10.4,0
Thomas Fidone III,Nebraska,Big Ten,2023,12,25,260,10.4,4,0,0,,0,25,260,10.4,4
Isaac TeSlaa,Arkansas,SEC,2023,12,34,351,10.3,2,1,0,0.0,0,35,351,10.0,2
Tre Mosley,Michigan State,Big Ten,2023,8,28,288,10.3,2,0,0,,0,28,288,10.3,2
Tyler Brown*,Clemson,ACC,2023,13,52,531,10.2,4,2,41,20.5,0,54,572,10.6,4
Ahmarean Brown,South Carolina,SEC,2023,9,26,265,10.2,1,2,0,0.0,0,28,265,9.5,1
Ke'Shawn Williams,Wake Forest,ACC,2023,11,38,384,10.1,1,3,29,9.7,1,41,413,10.1,2
