Player,Team,Conf,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
Jack Lausch*,Northwestern,Big Ten,2023,10,2,3,66.7,10,0,0,0,0,3.3,3.33,5,1,94.7,
Donovan Brown*,Syracuse,ACC,2023,13,1,1,100,9,0,0,0,0,9,9,9,0.7,175.6,
Broc Lowry,Indiana,Big Ten,2023,4,1,1,100,8,0,0,0,0,8,8,8,2,167.2,
Eric Singleton Jr.*,Georgia Tech,ACC,2023,12,1,1,100,8,0,0,0,0,8,8,8,0.7,167.2,
Grant Tisdale,Texas Christian,Big 12,2023,1,1,1,100,8,0,0,0,0,8,8,8,8,167.2,
Treshaun Ward*,Kansas State,Big 12,2023,11,1,1,100,8,1,100,0,0,8,28,8,0.7,497.2,
Brady Allen*,Louisville,ACC,2023,1,1,1,100,7,0,0,0,0,7,7,7,7,158.8,
Hunter Renner*,Northwestern,Big Ten,2023,13,1,1,100,7,0,0,0,0,7,7,7,0.5,158.8,
Pierce Clarkson*,Louisville,ACC,2023,1,1,2,50,7,0,0,0,0,3.5,3.5,7,7,79.4,
Ryan Montgomery,Cincinnati,Big 12,2023,8,1,1,100,7,1,100,0,0,7,27,7,0.9,488.8,
Jake Rubley*,Kansas State,Big 12,2023,2,1,1,100,5,0,0,0,0,5,5,5,2.5,142,
Kaiya Sheron*,Kentucky,SEC,2023,5,2,4,50,5,0,0,0,0,1.3,1.25,2.5,1,60.5,
Kaytron Allen*,Penn State,Big Ten,2023,13,1,1,100,4,0,0,0,0,4,4,4,0.3,133.6,
Marco Lainez*,Iowa,Big Ten,2023,1,2,7,28.6,4,0,0,0,0,0.6,0.57,2,4,33.4,
Jefferson Boaz*,North Carolina,ACC,2023,1,1,1,100,3,0,0,0,0,3,3,3,3,125.2,
Rickie Collins*,LSU,SEC,2023,1,2,2,100,3,0,0,0,0,1.5,1.5,1.5,3,112.6,
Collin Drake*,Georgia,SEC,2023,1,1,1,100,2,0,0,0,0,2,2,2,2,116.8,
Jarquez Hunter*,Auburn,SEC,2023,12,1,1,100,2,0,0,0,0,2,2,2,0.2,116.8,
LJ Martin,BYU,Big 12,2023,10,1,1,100,2,0,0,0,0,2,2,2,0.2,116.8,
Ryan Sanborn*,Texas,Big 12,2023,14,1,1,100,1,0,0,0,0,1,1,1,0.1,108.4,
Avery Boyd*,Georgia Tech,ACC,2023,13,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Caleb Hood*,North Carolina,ACC,2023,7,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Charlie Pollock*,Ole Miss,SEC,2023,13,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,
Coy Eakin*,Texas Tech,Big 12,2023,10,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Davis Warren*,Michigan,Big Ten,2023,3,0,5,0,0,0,0,1,20,0,-9,NA,0,-40,
Devin Neal*,Kansas,Big 12,2023,13,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Drake Dabney,Baylor,Big 12,2023,12,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Emeka Egbuka*,Ohio State,Big Ten,2023,10,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Isaiah Hankins,Baylor,Big 12,2023,12,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Jared Rayman,Virginia,ACC,2023,12,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Jaylin Lane*,Virginia Tech,ACC,2023,12,0,1,0,0,0,0,0,0,0,0,NA,0,0,
John Paul Richardson,Texas Christian,Big 12,2023,12,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,
Kahleil Jackson,Florida,SEC,2023,11,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,
Keandre Lambert-Smith*,Penn State,Big Ten,2023,13,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Kobe Hudson*,UCF,Big 12,2023,13,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Luke MacPhail*,Syracuse,ACC,2023,3,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,
Malik Washington,Virginia,ACC,2023,12,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Montorie Foster,Michigan State,Big Ten,2023,12,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Ollie Gordon*,Oklahoma State,Big 12,2023,14,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,"H-7,AA"
Phil Mafah*,Clemson,ACC,2023,13,0,1,0,0,0,0,0,0,0,0,NA,0,0,
R.J. Harvey*,UCF,Big 12,2023,13,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Ryan O'Keefe*,Boston College,ACC,2023,5,0,1,0,0,0,0,0,0,0,0,NA,0,0,
William Watson III*,Virginia Tech,ACC,2023,2,0,1,0,0,0,0,0,0,0,0,NA,0,0,
Navy Shuler*,Tennessee,SEC,2023,1,1,1,100,-1,0,0,0,0,-1,-1,-1,-1,91.6,
Andrew Schorfhaar,Michigan State,Big Ten,2023,2,2,2,100,-3,0,0,0,0,-1.5,-1.5,-1.5,-1.5,87.4,
Jordan Nabors,Baylor,Big 12,2023,9,1,1,100,-6,0,0,0,0,-6,-6,-6,-0.7,49.6,
LeQuint Allen*,Syracuse,ACC,2023,13,1,2,50,-9,0,0,0,0,-4.5,-4.5,-9,-0.7,12.2,
